date,health_condition,percent_of_neet
2025,Any health condition,52.06218825
2025,Mental health condition,20.00741378
2025,Non-mental health condition,32.05477447
2024,Any health condition,50.05950641
2024,Mental health condition,19.262363
2024,Non-mental health condition,30.79714341
2023,Any health condition,46.94947951
2023,Mental health condition,19.47928697
2023,Non-mental health condition,27.47019254
2022,Any health condition,47.20506579
2022,Mental health condition,20.25730254
2022,Non-mental health condition,26.94776326
2021,Any health condition,46.7299782
2021,Mental health condition,21.32634684
2021,Non-mental health condition,25.40363137
2020,Any health condition,45.13544954
2020,Mental health condition,20.61095662
2020,Non-mental health condition,24.52449292
2019,Any health condition,39.31816909
2019,Mental health condition,18.33255895
2019,Non-mental health condition,20.98561014
2018,Any health condition,39.79259488
2018,Mental health condition,18.85900158
2018,Non-mental health condition,20.9335933
2017,Any health condition,37.11430014
2017,Mental health condition,17.24796967
2017,Non-mental health condition,19.86633046
2016,Any health condition,36.62289566
2016,Mental health condition,15.81331152
2016,Non-mental health condition,20.80958414
2015,Any health condition,31.88923517
2015,Mental health condition,11.18488291
2015,Non-mental health condition,20.70435225
2014,Any health condition,30.06022839
2014,Mental health condition,10.54293628
2014,Non-mental health condition,19.51729211
2013,Any health condition,28.86543109
2013,Mental health condition,8.51183628
2013,Non-mental health condition,20.35359481
2012,Any health condition,29.56246729
2012,Mental health condition,7.72232885
2012,Non-mental health condition,21.84013844